entity_type,row_index,column,raw_value,error_code
mentor,-1,کدرشته,,MISSING_JOIN_KEY
mentor,-1,جنسیت,پسر,INVALID_JOIN_VALUE
mentor,1,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,2,جنسیت,پسر,INVALID_JOIN_VALUE
mentor,3,جنسیت,پسر,INVALID_JOIN_VALUE
mentor,4,جنسیت,پسر,INVALID_JOIN_VALUE
mentor,5,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,6,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,7,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,8,جنسیت,پسر,INVALID_JOIN_VALUE
mentor,9,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,10,جنسیت,پسر,INVALID_JOIN_VALUE
mentor,11,جنسیت,پسر,INVALID_JOIN_VALUE
mentor,12,جنسیت,پسر,INVALID_JOIN_VALUE
mentor,13,جنسیت,پسر,INVALID_JOIN_VALUE
mentor,14,جنسیت,پسر,INVALID_JOIN_VALUE
mentor,15,جنسیت,پسر,INVALID_JOIN_VALUE
mentor,16,جنسیت,پسر,INVALID_JOIN_VALUE
mentor,17,جنسیت,پسر,INVALID_JOIN_VALUE
mentor,18,جنسیت,پسر,INVALID_JOIN_VALUE
mentor,19,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,20,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,21,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,22,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,23,جنسیت,پسر,INVALID_JOIN_VALUE
mentor,24,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,25,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,26,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,27,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,28,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,29,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,30,جنسیت,پسر,INVALID_JOIN_VALUE
mentor,31,جنسیت,پسر,INVALID_JOIN_VALUE
mentor,32,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,33,جنسیت,پسر,INVALID_JOIN_VALUE
mentor,34,جنسیت,پسر,INVALID_JOIN_VALUE
mentor,35,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,36,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,37,جنسیت,پسر,INVALID_JOIN_VALUE
mentor,38,جنسیت,پسر,INVALID_JOIN_VALUE
mentor,39,جنسیت,پسر,INVALID_JOIN_VALUE
mentor,40,جنسیت,پسر,INVALID_JOIN_VALUE
mentor,41,جنسیت,پسر,INVALID_JOIN_VALUE
mentor,42,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,43,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,44,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,45,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,46,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,47,جنسیت,پسر,INVALID_JOIN_VALUE
mentor,48,جنسیت,پسر,INVALID_JOIN_VALUE
mentor,49,جنسیت,پسر,INVALID_JOIN_VALUE
mentor,50,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,51,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,52,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,53,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,54,جنسیت,پسر,INVALID_JOIN_VALUE
mentor,55,جنسیت,پسر,INVALID_JOIN_VALUE
mentor,56,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,57,جنسیت,پسر,INVALID_JOIN_VALUE
mentor,58,جنسیت,پسر,INVALID_JOIN_VALUE
mentor,59,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,60,جنسیت,پسر,INVALID_JOIN_VALUE
mentor,61,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,62,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,63,جنسیت,پسر,INVALID_JOIN_VALUE
mentor,64,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,65,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,66,جنسیت,پسر,INVALID_JOIN_VALUE
mentor,67,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,68,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,69,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,70,جنسیت,پسر,INVALID_JOIN_VALUE
mentor,71,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,72,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,73,جنسیت,پسر,INVALID_JOIN_VALUE
mentor,74,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,75,جنسیت,دختر,INVALID_JOIN_VALUE
mentor,76,جنسیت,دختر,INVALID_JOIN_VALUE
